Иностранное ПО,Российский аналог,Описание,Категория,Ссылка для скачивания
1Password,Kaspersky Password Manager,Менеджер паролей для безопасного хранения и автоматического заполнения учетных данных на сайтах и в приложениях.,Безопасность,https://www.kaspersky.ru/
1Password Business,Kaspersky Password Manager,Менеджер паролей для безопасного хранения и автоматического заполнения учетных данных на сайтах и в приложениях.,Безопасность,https://www.kaspersky.ru/
1Password Business,Passwork,Корпоративный менеджер паролей для безопасного хранения и общего доступа к учетным данным команды.,Безопасность,https://passwork.ru/
3ds Max,Blender (рос. дистрибутив),"Российская версия или сборка популярного пакета для создания 3D-графики, анимации, визуальных эффектов и игр.",Мультимедиа и графика,https://blender.org/
3ds Max,Компас-Графика,Приложение для двумерного черчения и проектирования в составе системы КОМПАС.,CAD/CAM/CAE/PLM,https://ascon.ru/
Abaqus,Fidesys,Платформа для инженерного анализа (CAE) методом конечных элементов для прочностных и мультифизических расчетов.,CAD/CAM/CAE/PLM,https://fidesys.com/
Abaqus,ЛОГОС CAE,Платформа для инженерного анализа (Computer-Aided Engineering) в ЛОГОС.,CAD/CAM/CAE/PLM,https://logos-engineering.ru/
Adobe Acrobat,Foxit PDF Editor (RU),"Российская версия популярного редактора PDF-файлов для создания, редактирования и аннотирования документов.","Другое (офисные пакеты, утилиты и пр.)",https://www.foxit.com/
Adobe Acrobat,МойОфис PDF,"Приложение для просмотра, создания и редактирования PDF-документов в экосистеме МойОфис.","Другое (офисные пакеты, утилиты и пр.)",https://myoffice.ru/
Adobe After Effects,Movavi Effects Editor,Редактор для наложения визуальных эффектов и обработки видео.,Мультимедиа и графика,https://www.movavi.ru/
Adobe Audition,Movavi Audio Editor,"Простой в использовании аудиоредактор для записи, очистки и монтажа звуковых файлов.",Мультимедиа и графика,https://www.movavi.ru/
Adobe Audition,Sound Forge (RU),Российская версия программы для профессионального редактирования аудио.,Мультимедиа и графика,https://magix.com/
Adobe Experience Cloud,Mindbox,Платформа сквозной аналитики и CRM-маркетинга для персонализации взаимодействия с клиентами во всех каналах.,Маркетинг и SMM,https://mindbox.ru/
Adobe Experience Cloud,Segmento,Решение для обнаружения и реагирования на угрозы на конечных точках (Endpoint Detection and Response).,Маркетинг и SMM,-
Adobe Illustrator,CorelDraw (RU версия),"Российская версия популярного векторного графического редактора для дизайна, макетов и иллюстраций.",Мультимедиа и графика,https://www.coreldraw.com/
Adobe Illustrator,Inkscape (рос. сборка),Российская версия или сборка популярного векторного графического редактора с открытым исходным кодом.,Мультимедиа и графика,https://inkscape.org/
Adobe InDesign,PageMaker (RU),"Российская версия классической настольно-издательской системы (DTP) для верстки, ныне во многом замененная InDesign.",Мультимедиа и графика,https://adobe.com/
Adobe InDesign,Scribus (рос. сборка),"SCADA-система, являющаяся частью программного комплекса ЛОГОС.",Мультимедиа и графика,https://scribus.net/
Adobe Photoshop,PhotoMASTER,Программа для редактирования и ретуширования фотографий с набором автоматических и ручных инструментов.,Мультимедиа и графика,-
Adobe Photoshop,Pixel Editor,"Графический редактор для работы с растровой графикой, часто с фокусом на пиксель-арт или базовое редактирование.",Мультимедиа и графика,-
Adobe Photoshop,Растр,"Программа для обработки растровой графики, возможно, специализированная для картографии или дизайна.",Мультимедиа и графика,-
Adobe Premiere Pro,Cinegy,"Пакет программ для профессионального производства, обработки и вещания видео в формате 4K и HDR.",Мультимедиа и графика,https://cinegy.com/
Adobe Premiere Pro,Movavi Video Editor,"Пользовательский видеоредактор для нелинейного монтажа видео, создания слайд-шоу и наложения эффектов.",Мультимедиа и графика,https://www.movavi.ru/
Adobe Sign,Диадок,Система электронного документооборота для юридически значимого обмена счетами-фактурами и другими документами.,"Другое (офисные пакеты, утилиты и пр.)",https://diadoc.ru/
